id,submi_id,title,authors,video_link,img,Keywords,group,type,abstracts,alt_text,captions,transcript,doc_link
11,158,Towards Neurosymbolic Learning for the Semantic Web with Kolibrie,Volodymyr Kadzhaia and Pieter Bonte,,https://drive.google.com/file/d/16E7D_jE2WrzNdn9JwafbTAWFJPCiz6q0/view?usp=drive_link,"Neuro-symbolic learning, Semantic Web, RDF 1.2, SPARQL-star",pd,Poster,"Conference poster: Towards Neurosymbolic Learning for the Semantic Web with
Kolibrie. Six sections argue that neural learning can be made native to the
Semantic Web stack by storing neural predictions as weighted RDF-star
statements, computing probabilities of rule-derived conclusions with Sentential
Decision Diagrams, and declaring models, features and training data as
SPARQL-shaped statements inside the Kolibrie engine. Full description below.","Conference poster: Towards Neurosymbolic Learning for the Semantic Web with
Kolibrie. Six sections argue that neural learning can be made native to the
Semantic Web stack by storing neural predictions as weighted RDF-star
statements, computing probabilities of rule-derived conclusions with Sentential
Decision Diagrams, and declaring models, features and training data as
SPARQL-shaped statements inside the Kolibrie engine. Full description below.",,,
12,16,OWL-SDA: A Multi-Agent System for Generating Synthetic Data to Support Ontology Evaluation,Maxim Van de Wynckel and Emmelien De Roock,,https://drive.google.com/file/d/1SL8ZohaoViJkDeH-6LL8VaM1-mLslmqz/view?usp=drive_link,"synthetic data, OWL, AI-agents, ontology-driven documentation",pd,Poster,"Academic poster titled ""OWL-SDA: A Multi-Agent System for Generating Synthetic Data to Support Ontology Evaluation"", presented at SEMANTiCS 2026 in Ghent, Belgium, by Dr. Maxim Van de Wynckel (Flemish Government, Department of Environment and Spatial Development; Vrije Universiteit Brussel, Web & Information Systems Engineering Lab) and Dr. Emmelien De Roock (UZ Brussel and Vrije Universiteit Brussel, Data Analytics Laboratory).

Abstract: ""Ontology engineers often need representative RDF instances to validate and document an ontology, but such data may be unavailable, incomplete, too sensitive to share or simply too much work. We present OWL-SDA, an open-source toolkit that uses worker, supervisor and reviewer AI agents to generate synthetic RDF data from ontology context and SHACL constraints. The workflow combines shape-level task decomposition, direct manipulation of an in-memory triple store, iterative SHACL repair and a final review stage aimed at catching issues that remain possible even after SHACL conformance. We evaluate OWL-SDA on two contrasting ontologies, one for industrial emissions reporting and one for healthcare records. The results show that richer ontology constraints lead to faster convergence and more informative examples, while sparse ontologies require more supervision and still yield less detailed data. We therefore position the toolkit for ontology engineers to help document their ontology, but also to validate if the ontology alone is sufficiently rich to be understood by non-experts.""","Academic poster titled ""OWL-SDA: A Multi-Agent System for Generating Synthetic Data to Support Ontology Evaluation"", presented at SEMANTiCS 2026 in Ghent, Belgium, by Dr. Maxim Van de Wynckel (Flemish Government, Department of Environment and Spatial Development; Vrije Universiteit Brussel, Web & Information Systems Engineering Lab) and Dr. Emmelien De Roock (UZ Brussel and Vrije Universiteit Brussel, Data Analytics Laboratory).

Abstract: ""Ontology engineers often need representative RDF instances to validate and document an ontology, but such data may be unavailable, incomplete, too sensitive to share or simply too much work. We present OWL-SDA, an open-source toolkit that uses worker, supervisor and reviewer AI agents to generate synthetic RDF data from ontology context and SHACL constraints. The workflow combines shape-level task decomposition, direct manipulation of an in-memory triple store, iterative SHACL repair and a final review stage aimed at catching issues that remain poss",,,
13,20,ODDToolkit: An Open-Source Toolkit to Help Bridge the Developer Gap in Ontology Driven Design,Maxim Van de Wynckel and Geert Van Haute,,https://drive.google.com/file/d/1ErF5EPtN9ixHwsGQjCkRTSLI3wXdCQiP/view?usp=drive_link,"ontology driven design, documentation, code generation, data modelling, software development",pd,Poster,"Academic poster titled ""ODDToolkit: An Open-Source Toolkit to Help Bridge the Developer Gap in Ontology Driven Design"", by Maxim Van de Wynckel and Geert Van Haute.

Problem statement: How can an ontology be engineered iteratively so developers unfamiliar with linked data can validate it without heavy documentation, while still becoming familiar with linked data over time?

Pipeline diagram with four steps: (1) input consists of an OWL ontology, SKOS concepts, and developer preferences; (2) main classes and attributes are inferred; (3) SKOS concepts are mapped; (4) developer artefacts are generated as output, referencing the ontology. Example code snippets show generated Java classes with embedded links back to the linked data.

Abstract: Linked open data is difficult for software teams to use when OWL models are documented for ontology engineers rather than implementers, and keeping implementer documentation current is time-consuming while an ontology is under development. ODDToolkit is an open-source Ontology Driven Design toolkit that generates developer-facing artefacts from three inputs: an OWL ontology, a SKOS concept scheme with business-specific names, and a configuration file for developer-specific design choices. It emits SQL DDL, Java and TypeScript models, SHACL shapes, diagrams, and documentation. Rather than fully automating translation of arbitrary vocabularies, the goal is repeatable regeneration of implementation artefacts as an ontology evolves. The pipeline is used in a Flemish government environmental reporting project, where generated artefacts support implementation, documentation, and validation around a shared, evolving ontology.

Closing statement: ODDToolkit's philosophy is to bring linked data to the IDE.","Academic poster titled ""ODDToolkit: An Open-Source Toolkit to Help Bridge the Developer Gap in Ontology Driven Design"", by Maxim Van de Wynckel and Geert Van Haute.

Problem statement: How can an ontology be engineered iteratively so developers unfamiliar with linked data can validate it without heavy documentation, while still becoming familiar with linked data over time?

Pipeline diagram with four steps: (1) input consists of an OWL ontology, SKOS concepts, and developer preferences; (2) main classes and attributes are inferred; (3) SKOS concepts are mapped; (4) developer artefacts are generated as output, referencing the ontology. Example code snippets show generated Java classes with embedded links back to the linked data.

Abstract: Linked open data is difficult for software teams to use when OWL models are documented for ontology engineers rather than implementers, and keeping implementer documentation current is time-consuming while an ontology is under development. ODDToolkit ",,,
14,24,Chemical Identity Lost in Regulation: A Study of Semantic Interoperability in European Chemical Substance Data,"Geert Van Haute, Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel",,https://drive.google.com/file/d/1xJ7WJXx9ruF0t1AWX8I0cwpNKc_Yz17a/view?usp=drive_link,"semantic interoperability, regulatory interoperability, Interoperable Europe, chemical substance identification",pd,Poster,"Short alt text (for the <img alt=""...""> attribute):
Academic conference poster titled ""Chemical Identity Lost in Regulation: A Study of
Semantic Interoperability in European Chemical Substance Data"" by Geert Van Haute,
Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel (Flemish Government,
SEMANTiCS 2026). A full text description of the poster's content follows in this file.

Long description:

Header
The poster is titled ""Chemical Identity Lost in Regulation"", subtitled ""A Study of
Semantic Interoperability in European Chemical Substance Data"". Authors: Geert Van
Haute, Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel, Department of
Environment & Spatial Development, Flemish Government, Brussels, presented at
SEMANTiCS 2026, Ghent. The Flanders State of the Art logo appears top right.

Central diagram: ""One semantic model over 18 regulatory sources""
A node-and-arrow diagram shows five regulatory/chemical data sources on the left
(18 regulatory lists such as ECHA, Pesticides, OSPAR, VMM; PubChem, mapping CAS to
InChIKey; ClassyFire, mapping InChIKey to parent class; the ChEBI ontology; and
Embeddings + LLM sources such as MiniLM and Claude) all feeding into a central
highlighted box, ""Regulatory substances"" (17,523 dbo:ChemicalSubstance /
skos:Concept records, keyed by CAS, EC number and InChIKey). From this central box,
solid arrows (asserted RDF relations) lead to: a ""13 skos:Collection"" box (7
linkability tiers, 6 embedding clusters), which links onward to ""ChemOnt 2.1"" (3,943
skos:Concept entries across 4 XKOS levels, kingdom to subclass); and to ""ChEBI
substances"" (owl:Class, SMILES, InChI), which links onward to ""ChEBI roles""
(owl:Class in an rdfs:subClassOf hierarchy, agrochemical roles). A dashed arrow
(deliberately not merged) connects the ChemOnt classification to a separate ""Scope
mapping"" box (304 SKOS triples, kept separate). Below the central box, an
""oa:Annotation"" box (48,438 annotations: 40,644 list memberships + 7,794 ChEBI
roles) links via oa:hasTarget to the regulatory substances and via oa:hasBody to
the ChEBI roles, preserving provenance for every cross-source claim. Caption below
the diagram: ""Regulatory substances form one SKOS concept scheme; ChemOnt supplies
chemical classification over four XKOS levels, ChEBI an orthogonal axis of
biological roles, and an annotation layer keeps regulatory provenance attached to
every claim.""","Short alt text (for the <img alt=""...""> attribute):
Academic conference poster titled ""Chemical Identity Lost in Regulation: A Study of
Semantic Interoperability in European Chemical Substance Data"" by Geert Van Haute,
Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel (Flemish Government,
SEMANTiCS 2026). A full text description of the poster's content follows in this file.

Long description:

Header
The poster is titled ""Chemical Identity Lost in Regulation"", subtitled ""A Study of
Semantic Interoperability in European Chemical Substance Data"". Authors: Geert Van
Haute, Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel, Department of
Environment & Spatial Development, Flemish Government, Brussels, presented at
SEMANTiCS 2026, Ghent. The Flanders State of the Art logo appears top right.

Central diagram: ""One semantic model over 18 regulatory sources""
A node-and-arrow diagram shows five regulatory/chemical data sources on the left
(18 regulatory lists such as ECHA, Pestici",,,
15,73,LLM-Assisted Ontology Engineering and Construction of a French Legal Knowledge Graph,"Génesis Montenegro, Mokhtar Boumedyen Billami, Fabien Gandon, Catherine Faron and Pierre Monnin",,https://drive.google.com/file/d/1nevmSRR5JIVZ7Z9VX4ckxqqaMtJtm5Z4/view?usp=drive_link,"ontology, knowledge graph, knowledge engineering, language models, legal texts, maintenance regulation",pd,Poster,"Scientific poster with a multi-section layout containing workflow diagrams, an example of legal triple extraction and normalization, summary tables, and evaluation metrics. The poster describes a workflow for constructing a French legal knowledge graph from industrial maintenance regulations using large language models. The workflow is organized into two stages. The first stage, ontology engineering, includes class-guided triple extraction, embedding-based entity fusion, and object property induction using domain and range signatures. The second stage constructs the knowledge graph through signature-guided triple extraction, embedding-based fusion, and RDF transformation. A central example illustrates how the extracted relation ""operator – responsibleFor – post-intervention inspection"" is normalized to ""technical inspection"" before being represented in RDF. The results section compares OpenAI and Mistral models, reporting ontology and knowledge graph statistics together with evaluation metrics. Both approaches achieve nearly complete ontology class coverage, while embedding-based fusion improves signature compliance. The poster presents an ontology-guided workflow for automatically building a legal knowledge graph from 6,370 French maintenance regulations and highlights future work on predicate normalization, GraphRAG-based legal retrieval, and continuous knowledge graph updates.","Scientific poster with a multi-section layout containing workflow diagrams, an example of legal triple extraction and normalization, summary tables, and evaluation metrics. The poster describes a workflow for constructing a French legal knowledge graph from industrial maintenance regulations using large language models. The workflow is organized into two stages. The first stage, ontology engineering, includes class-guided triple extraction, embedding-based entity fusion, and object property induction using domain and range signatures. The second stage constructs the knowledge graph through signature-guided triple extraction, embedding-based fusion, and RDF transformation. A central example illustrates how the extracted relation ""operator – responsibleFor – post-intervention inspection"" is normalized to ""technical inspection"" before being represented in RDF. The results section compares OpenAI and Mistral models, reporting ontology and knowledge graph statistics together with evaluation",,,
16,87,Datalens: A Semantic Model and Knowledge Graph for Discovery and Exploration of Machine Learning Resources,"Zachari Arnaud, Aline Menin, Anaïs Ollagnier and Catherine Faron",,https://drive.google.com/file/d/16GWEgtHdhqfHW8N_79hYktOapknk-Ar_/view?usp=drive_link,"Knowledge Graphs, Ontology Engineering, Machine Learning Metadata, Dataset Discovery, Semantic Web",pd,Poster,"DATALENS: A Semantic Model and Knowledge Graph for Discovery and Exploration of Machine Learning Resources
The poster presents DATALENS, a semantic approach for discovering and exploring machine learning (ML) resources beyond keyword-based search.
The Goals section states three objectives:
* Enable semantic discovery and exploration of ML resources.
* Support exploratory search across heterogeneous repositories.
* Promote interoperability across ML repositories.
The Motivation section highlights that current ML repositories primarily rely on keyword-based search, while existing machine learning knowledge graphs mainly target recommendation, scholarly resources, or platform-specific analytics. DATALENS addresses this gap by enabling interoperable semantic discovery and exploration.
The central part of the poster illustrates the DATALENS workflow in five steps:
1. Semantic Model: an OWL ontology and a SKOS thesaurus that reuse established Semantic Web vocabularies (DCAT, PROV-O, Schema.org, Open Annotation, and SKOS). The contribution is a unified semantic model supporting ML resource discovery.
2. Data Lifting: metadata are extracted from the Hugging Face API, mapped to the ontology, and transformed into RDF using Morph-xR2RML.
3. RDF Knowledge Graph: the resulting knowledge graph contains approximately 62 million RDF triples describing about 968 thousand datasets, 2.8 million models, 56 machine learning tasks, and 74 sub-tasks.
4. Querying: competency questions are implemented as SPARQL queries over the knowledge graph.
5. Interactive Exploration: query results are explored through graph visualizations, relationship analysis, and statistical summaries to support semantic discovery of ML resources.
The lower part of the poster demonstrates the approach using the competency question:
""How are ML resources connected through training, derivation, and reuse relationships?""
A SPARQL query retrieving training and derivation relationships is shown alongside the resulting network visualization, where datasets and models are connected according to these semantic relationships.
A QR code links to an interactive online demonstration of the DATALENS dashboard.
The poster concludes with the message:
""Helping researchers discover datasets and models beyond keyword search.""","DATALENS: A Semantic Model and Knowledge Graph for Discovery and Exploration of Machine Learning Resources
The poster presents DATALENS, a semantic approach for discovering and exploring machine learning (ML) resources beyond keyword-based search.
The Goals section states three objectives:
* Enable semantic discovery and exploration of ML resources.
* Support exploratory search across heterogeneous repositories.
* Promote interoperability across ML repositories.
The Motivation section highlights that current ML repositories primarily rely on keyword-based search, while existing machine learning knowledge graphs mainly target recommendation, scholarly resources, or platform-specific analytics. DATALENS addresses this gap by enabling interoperable semantic discovery and exploration.
The central part of the poster illustrates the DATALENS workflow in five steps:
1. Semantic Model: an OWL ontology and a SKOS thesaurus that reuse established Semantic Web vocabularies (DCAT, PROV-O, Schema.o",,,
17,109,Schema Injection in the Wild for Link Prediction: Lessons Learned from Incomplete Schema Cases,"Nicolas Robert, Pierre Monnin and Catherine Faron",,https://drive.google.com/file/d/1DhgpH-lAIZUnxyVSz8U42Z1Dso8cEjHl/view?usp=drive_link,"Link Prediction, Knowledge Graph Embedding, Loss functions, Schema injection, Neurosymbolic AI",pd,Poster,"Schema Injection in the Wild for Link Prediction: Lessons Learned from Incomplete Schema Cases

Authors:
Nicolas Robert, Pierre Monnin, Catherine Faron

Affiliation:
Université Côte d'Azur, Inria, CNRS, I3S, Sophia-Antipolis, France.

Overview

This academic research poster presents a study on the use of schema-driven loss functions for knowledge graph link prediction when knowledge graph schemas are incomplete. The poster is organized into multiple clearly separated sections with a title, author information, explanatory text, examples, mathematical formulations, research questions, dataset statistics, experimental results, conclusions, references, institutional logos, and a QR code.

Layout

The poster has a vertical layout on a light gray background. The title spans the top of the poster, followed by the authors and their institutional affiliation. The content is divided into several rounded rectangular panels arranged in rows. The lower portion contains result tables and concluding remarks. Along the bottom edge are institutional logos and a QR code that provides access to additional information.

Content Description

Introduction

The poster introduces the problem of link prediction in knowledge graphs. It explains that knowledge graphs are inherently incomplete and that link prediction aims to predict missing entities in triples represented as (head, relation, ?) or (?, relation, tail).

It states that one common approach is to use Knowledge Graph Embedding Models (KGEMs). During training, loss functions encourage models to assign high scores to positive triples and low scores to negative triples.

Schema-driven Loss Functions

A section explains that not all negative examples are equally informative.

Two examples illustrate this concept:

• Semantically coherent negative:
  (Paris, capitalOf, Italy)

• Semantically incoherent negative:
  (Paris, capitalOf, Tulip)

The poster explains that relation signatures determine whether a negative example is semantically coherent or incoherent. The poster recalls three schema-driven loss functions that distinguish between different types of negatives rather than treating them equally, that were previously introduced in the literature.

These three mathematical formulations are shown and represent different approaches based on:

• Different margins
• Soft labeling
• Coherent negatives sampled as positives

Another note explains that previous work evaluated schema-driven loss functions only on knowledge graphs with fully typed entities and complete relation signatures.","Schema Injection in the Wild for Link Prediction: Lessons Learned from Incomplete Schema Cases

Authors:
Nicolas Robert, Pierre Monnin, Catherine Faron

Affiliation:
Université Côte d'Azur, Inria, CNRS, I3S, Sophia-Antipolis, France.

Overview

This academic research poster presents a study on the use of schema-driven loss functions for knowledge graph link prediction when knowledge graph schemas are incomplete. The poster is organized into multiple clearly separated sections with a title, author information, explanatory text, examples, mathematical formulations, research questions, dataset statistics, experimental results, conclusions, references, institutional logos, and a QR code.

Layout

The poster has a vertical layout on a light gray background. The title spans the top of the poster, followed by the authors and their institutional affiliation. The content is divided into several rounded rectangular panels arranged in rows. The lower portion contains result tables and concluding ",,,
18,83,Tokenizing the Graph: Attentive Byte-pair Encoding for Knowledge Graph Embeddings,"N'Dah Jean Kouagou, Arnab Sharma, Harshit Purohit, Caglar Demir and Axel-Cyrille Ngonga Ngomo",,https://drive.google.com/file/d/1asuTNVD5RxH44RYV2LTypKvLsrWS16OO/view?usp=drive_link,"Knowledge graph embedding, Link prediction, Tokenization, Transformer",pd,Poster,"Tokenizing the Graph: Attentive Byte-Pair Encoding for Knowledge Graph
       Embeddings (BytE)

Authors: N'Dah Jean Kouagou, Arnab Sharma, Harshit Purohit, Caglar Demir,
         Axel-Cyrille Ngonga Ngomo

Affiliation: Data Science Research Group, Heinz Nixdorf Institute,
             Paderborn University

Conference: SEMANTiCS 2026, Ghent, Belgium

Associated multimedia file: poster.pdf (or poster.png)

License: CC BY 4.0

================================================================================
SHORT ALTERNATIVE TEXT (for brief alt-text fields)
================================================================================

Research poster presenting BytE, a method that tokenizes knowledge graph
entity and relation names with byte-pair encoding and attentive composition,
then plugs the resulting vectors into standard knowledge graph embedding (KGE)
models. Experiments on eight benchmark graphs and four KGE backbones show
improved link prediction and robustness to lexical perturbation.

================================================================================
LONG DESCRIPTION (for screen readers and assistive technologies)
================================================================================

This is a portrait-format academic poster (A0) with a blue header and footer,
a light background, and three columns of white content boxes. Orange and teal
are used for highlights. The poster explains the motivation, method, experiments,
results, and conclusions of the BytE approach.

--------------------------------------------------------------------------------
HEADER
--------------------------------------------------------------------------------

Title:
  Tokenizing the Graph: Attentive Byte-Pair Encoding for Knowledge Graph
  Embeddings

Authors:
  N'Dah Jean Kouagou, Arnab Sharma, Harshit Purohit, Caglar Demir,
  Axel-Cyrille Ngonga Ngomo

Affiliation:
  Data Science Research Group, Heinz Nixdorf Institute, Paderborn University

Event:
  SEMANTiCS 2026, Ghent, Belgium

--------------------------------------------------------------------------------
LEFT COLUMN
--------------------------------------------------------------------------------

Section: Why tokenize a graph?

Conventional knowledge graph embedding (KGE) models assign one vector to every
entity and relation. This creates a fixed vocabulary and cannot naturally reuse
information across related names.

Example shown on the poster:
  ""western_europe"" is split into subword tokens: {western, _, europe}

Goal:
  Reuse meaningful lexical pieces while preserving efficient KGE scoring.","Tokenizing the Graph: Attentive Byte-Pair Encoding for Knowledge Graph
       Embeddings (BytE)

Authors: N'Dah Jean Kouagou, Arnab Sharma, Harshit Purohit, Caglar Demir,
         Axel-Cyrille Ngonga Ngomo

Affiliation: Data Science Research Group, Heinz Nixdorf Institute,
             Paderborn University

Conference: SEMANTiCS 2026, Ghent, Belgium

Associated multimedia file: poster.pdf (or poster.png)

License: CC BY 4.0

================================================================================
SHORT ALTERNATIVE TEXT (for brief alt-text fields)
================================================================================

Research poster presenting BytE, a method that tokenizes knowledge graph
entity and relation names with byte-pair encoding and attentive composition,
then plugs the resulting vectors into standard knowledge graph embedding (KGE)
models. Experiments on eight benchmark graphs and four KGE backbones show
improved link prediction and robustness to lexical per",,,
19,84,Parameterized Fuzzy Negation for Complex Query Answering over Knowledge Graphs,"Sourabh Kapoor, Arnab Sharma, Stefan Heindorf, Caglar Demir and Axel-Cyrille Ngonga Ngomo",,https://drive.google.com/file/d/1ikxAI5yMj7exJYCBb5ZPNquFvi8nu6ia/view?usp=drive_link,"Question answering, Knowledge Graph Embedding, Fuzzy Logic Norms",pd,Poster,"Parameterized Fuzzy Negation for Complex Query Answering over Knowledge Graphs

Authors: Sourabh Kapoor, Arnab Sharma, Stefan Heindorf, Caglar Demir,
Axel-Cyrille Ngonga Ngomo

Affiliation: Data Science Research Group, Heinz Nixdorf Institute,
Paderborn University, Germany

Conference: SEMANTiCS 2026 Poster Track, Ghent, Belgium

Associated multimedia file: poster_84.pdf

License: CC BY 4.0

Research poster presenting a training-free extension of Continuous Query
Decomposition (CQD) for complex query answering over incomplete knowledge
graphs. The method replaces the fixed standard fuzzy negation operator with
parameterized Sugeno or Yager negation. The parameters are selected on
validation queries, while the underlying knowledge graph embedding (KGE)
model remains frozen. Experiments with five neural link predictors on four
knowledge graphs and five negated query structures show that parameterized
negation generally improves mean reciprocal rank (MRR), with the strongest
gains on the intersection-heavy 2in and 3in query structures.

This is a landscape-format academic poster with a dark blue header and footer,
a light background, and a three-column grid of content boxes. Blue section
headers are used throughout, while teal and orange highlight selected formulas,
workflow elements, and result summaries. The poster explains the motivation,
parameterized negation operators, CQD workflow, experimental results,
interpretation, and conclusions.

---

## HEADER

Title:
Parameterized Fuzzy Negation for Complex Query Answering over Knowledge Graphs

Authors:
Sourabh Kapoor, Arnab Sharma, Stefan Heindorf, Caglar Demir,
Axel-Cyrille Ngonga Ngomo

Affiliation:
Data Science Research Group, Heinz Nixdorf Institute,
Paderborn University, Germany

Event:
SEMANTiCS 2026 Poster Track, Ghent, Belgium

---

## LEFT COLUMN

Section: Negation needs more flexibility

Knowledge graphs are incomplete, so complex query answering uses neural
predictors to score missing links.

Key points:

- Conjunction and disjunction have several useful continuous operators.
- In CQD-style query answering, negation is typically modeled using the
  standard operator N(x) = 1 - x, regardless of the score distribution of
  the underlying link predictor.

A small query graph illustrates a multi-hop query. It contains nodes labeled
e, E1, E?, and b. Relations r1 and r2 connect e to E1 and E1 to the target
entity E?, while a negated relation, shown as not-r3, connects b to E?.","Parameterized Fuzzy Negation for Complex Query Answering over Knowledge Graphs

Authors: Sourabh Kapoor, Arnab Sharma, Stefan Heindorf, Caglar Demir,
Axel-Cyrille Ngonga Ngomo

Affiliation: Data Science Research Group, Heinz Nixdorf Institute,
Paderborn University, Germany

Conference: SEMANTiCS 2026 Poster Track, Ghent, Belgium

Associated multimedia file: poster_84.pdf

License: CC BY 4.0

Research poster presenting a training-free extension of Continuous Query
Decomposition (CQD) for complex query answering over incomplete knowledge
graphs. The method replaces the fixed standard fuzzy negation operator with
parameterized Sugeno or Yager negation. The parameters are selected on
validation queries, while the underlying knowledge graph embedding (KGE)
model remains frozen. Experiments with five neural link predictors on four
knowledge graphs and five negated query structures show that parameterized
negation generally improves mean reciprocal rank (MRR), with the strongest
gains on the ",,,
20,131,The Semantic Immune System: Adaptive Knowledge Integrity in the Era of Induced Semantics,"Manzoor Ali, Yasir Mahmood, Muhammad Saleem and Axel-Cyrille Ngonga Ngomo",,https://drive.google.com/file/d/1CEn6-sULOyGAAUA4o8VQuffHBBwgYBje/view?usp=drive_link,"Induced Semantics, Neuro-Symbolic AI, Artificial Immune Systems, Self repair, Semantic Web",pd,Poster,"The Semantic Immune System: Adaptive Knowledge Integrity in the Era of Induced Semantics

This scientific poster presents the Semantic Immune System (SIS), a biologically inspired framework for protecting Knowledge Graphs (KGs) from semantic errors introduced by Large Language Models (LLMs). The poster argues that existing validation approaches such as SHACL and OWL verify structural correctness but cannot detect semantic hallucinations—facts that satisfy ontology constraints while being factually incorrect.

The poster begins by motivating the problem of LLM-generated semantic hallucinations in Knowledge Graph construction. A summary explains that LLMs accelerate KG creation but may introduce incorrect knowledge, creating a need for adaptive semantic validation. The proposed Semantic Immune System addresses this challenge by learning to detect, remember, and repair semantic inconsistencies over time.

A challenge section illustrates semantic hallucinations using three example triples: ""Marie Curie won the Nobel Prize in Literature"", ""Paris is located in Germany"", and ""Albert Einstein was born in 2010"". Although each example satisfies structural constraints enforced by SHACL and OWL, all are factually incorrect. The poster uses these examples to demonstrate that structural validation alone is insufficient for ensuring semantic correctness.

The central figure presents the architecture of the Semantic Immune System. Incoming triples first undergo innate validation using SHACL and OWL. Structurally valid triples are then analysed by an adaptive semantic validation pipeline consisting of embedding similarity, negative selection, detector evolution, semantic memory, and semantic vaccination. Triples identified as semantic pathogens are quarantined or repaired before being accepted into the Knowledge Graph, while trusted triples become part of the semantic memory used for future detection.

A comparison chart contrasts traditional ontology validation with the Semantic Immune System. Existing approaches perform well for domain, range, and ontology consistency checks but do not support hallucination detection, semantic drift detection, continual learning, detector evolution, semantic memory, or semantic vaccination. The Semantic Immune System supports all of these capabilities, extending validation from structural correctness to semantic integrity.

Another section maps concepts from the biological immune system to Knowledge Graph validation. Trusted knowledge corresponds to the biological ""self""; semantic hallucinations correspond to pathogens; semantic detectors correspond to antibodies; semantic memory corresponds to immune memory; synthetic hallucination generation corresponds to vaccination; and triple repair corresponds to biological recovery.

The poster also summarises the five adaptive mechanisms of the Semantic Immune System: innate validation using SHACL and OWL, negative selection to generate detectors that do not match trusted knowledge, clonal selection to evolve successful detectors, semantic memory for remembering previously detected hallucinations, and semantic vaccination through synthetic semantic errors that improve future detection.","The Semantic Immune System: Adaptive Knowledge Integrity in the Era of Induced Semantics

This scientific poster presents the Semantic Immune System (SIS), a biologically inspired framework for protecting Knowledge Graphs (KGs) from semantic errors introduced by Large Language Models (LLMs). The poster argues that existing validation approaches such as SHACL and OWL verify structural correctness but cannot detect semantic hallucinations—facts that satisfy ontology constraints while being factually incorrect.

The poster begins by motivating the problem of LLM-generated semantic hallucinations in Knowledge Graph construction. A summary explains that LLMs accelerate KG creation but may introduce incorrect knowledge, creating a need for adaptive semantic validation. The proposed Semantic Immune System addresses this challenge by learning to detect, remember, and repair semantic inconsistencies over time.

A challenge section illustrates semantic hallucinations using three example triples:",,,
21,161,Integrating Domain Experts and Large Language Models for CQ Generation,Maryam Sefidbari and Leyla Jael Castro,,https://drive.google.com/file/d/1d4ePhvpKDrwy5AVTgAPS-cToQXLqP_95/view?usp=drive_link,"Competency Questions, Ontology Engineering, Ontology Validation, Large Language Models, Requirement Elicitation, Automated Competency Question Generation",pd,Poster,"Integrating Domain Experts and Large Language Models for Competency Question Generation.
Poster describes a six-phase framework combining domain expert input with Large Language Models to generate competency questions for ontology engineering. The phases are: expert-led scoping, building a domain corpus, competency question generation, refinement, filtering, and clustering. A benchmarks panel reports clarity, semantic coverage, and atomicity scores comparing expert-authored versus framework-generated competency questions. By Maryam Sefidbari and Leyla Jael Castro, ZB MED, presented at SEMANTiCS Ghent 2026. A QR code links to the project's GitHub repository (https://github.com/Maryam-sfb/CQ-Generation-Framework).","Integrating Domain Experts and Large Language Models for Competency Question Generation.
Poster describes a six-phase framework combining domain expert input with Large Language Models to generate competency questions for ontology engineering. The phases are: expert-led scoping, building a domain corpus, competency question generation, refinement, filtering, and clustering. A benchmarks panel reports clarity, semantic coverage, and atomicity scores comparing expert-authored versus framework-generated competency questions. By Maryam Sefidbari and Leyla Jael Castro, ZB MED, presented at SEMANTiCS Ghent 2026. A QR code links to the project's GitHub repository (https://github.com/Maryam-sfb/CQ-Generation-Framework).",,,
